shape_name,shape_id,node_id,x,y,radius
binary_image,1,1,273,15,16.278820596099706
binary_image,2,2,477,13,14.0
binary_image,3,3,672,84,10.44030650891055
binary_image,4,4,565,275,12.0
binary_image,4,5,589,345,32.31098884280702
binary_image,4,6,619,368,26.0
binary_image,4,7,681,509,13.341664064126334
binary_image,4,8,527,603,8.54400374531753
binary_image,4,9,721,607,22.0
binary_image,4,10,721,623,22.02271554554524
binary_image,4,11,652,653,10.44030650891055
binary_image,4,12,667,656,7.0
binary_image,5,13,212,125,12.727922061357855
binary_image,5,14,179,135,9.0
binary_image,5,15,128,150,10.198039027185569
binary_image,7,16,1033,312,17.029386365926403
binary_image,8,17,710,302,13.038404810405298
binary_image,8,18,707,315,20.808652046684813
binary_image,8,19,706,316,21.95449840010015
binary_image,10,20,806,360,7.0710678118654755
binary_image,12,21,147,390,6.324555320336759
binary_image,15,22,463,534,8.602325267042627
binary_image,16,23,27,429,10.816653826391969
binary_image,17,24,815,535,18.681541692269406
binary_image,18,25,265,485,13.341664064126334
binary_image,22,26,1087,587,25.298221281347036
binary_image,24,27,275,588,6.324555320336759
binary_image,27,28,65,627,17.0
binary_image,27,29,13,645,14.0
binary_image,32,30,840,700,12.0
binary_image,33,31,248,699,12.041594578792296
binary_image,34,32,1020,701,12.0
