node_id,x,y,radius
1,446,10,12.0
2,153,21,22.0
3,929,27,28.0
4,802,204,20.0
5,20,254,18.788294228055936
6,20,273,17.46424919657298
7,732,316,25.317977802344327
8,53,389,25.0
9,226,439,26.570660511172846
10,423,480,31.304951684997057
11,226,484,23.0
12,594,509,25.0
13,533,533,26.476404589747453
14,274,555,27.202941017470888
15,333,567,36.05551275463989
16,202,571,26.92582403567252
17,239,572,24.020824298928627
18,153,613,33.54101966249684
19,331,618,33.015148038438355
20,275,638,23.0
21,30,640,34.88552708502482
22,478,665,25.0
23,161,667,28.0
24,30,673,31.0
25,786,681,25.0
26,896,774,29.427877939124322
27,366,787,32.38826948140329
28,374,788,33.61547262794322
29,462,799,26.0
30,510,803,18.0
31,661,838,23.0
32,226,840,24.0
33,266,840,24.186773244895647
34,412,852,21.0
35,443,857,29.068883707497267
36,443,866,28.460498941515414
37,841,869,31.953090617340916
38,512,870,23.706539182259394
39,30,871,20.8806130178211
40,442,878,26.0
41,194,889,14.0
42,401,893,14.212670403551895
