node_id,x,y,semi_major,semi_minor,angle
1,174,79,20,19,22.5
2,1123,87,6,5,90.0
3,203,98,18,17,22.500000000000057
4,1077,107,37,35,90.0
5,477,129,24,23,90.0
6,207,143,27,25,112.5
7,129,149,16,15,157.5
8,194,164,27,24,90.0
9,1082,166,26,23,90.0
10,185,168,27,25,90.0
11,234,179,13,12,90.0
12,970,197,35,34,67.5
13,389,200,22,21,0.0
14,83,226,35,31,112.5
15,990,234,41,34,90.0
16,18,239,20,19,90.0
17,260,255,19,18,157.5
18,993,262,39,34,67.5
19,299,274,22,21,67.5
20,1112,294,10,9,90.0
21,140,313,23,21,90.0
22,703,317,23,21,90.0
23,1078,319,11,9,0.0
24,887,373,25,24,45.0
25,251,376,22,21,22.500000000000057
26,983,378,26,25,0.0
27,327,390,25,24,135.0
28,955,390,24,21,157.5
29,487,404,18,17,0.0
30,602,422,18,17,90.0
31,1031,441,22,21,22.500000000000057
32,672,454,22,21,90.0
33,623,462,16,15,112.5
34,991,463,25,23,0.0
35,553,489,20,19,0.0
36,307,518,23,22,90.0
37,603,529,29,28,45.0
38,305,541,25,20,90.0
39,617,542,29,28,112.5
40,116,558,25,22,90.0
41,307,565,22,19,90.0
42,732,565,41,40,22.5
43,612,584,20,19,0.0
44,295,604,16,15,0.0
45,778,612,38,35,67.5
46,648,620,23,22,157.5
47,166,638,20,19,90.0
48,138,673,22,19,112.5
49,631,681,20,19,157.5
50,731,683,23,22,90.0
51,662,696,14,13,0.0
52,930,705,34,32,90.0
53,873,774,25,24,112.5
54,767,789,28,26,90.0
55,636,796,20,15,0.0
56,834,798,29,21,90.0
57,849,832,29,27,90.0
58,863,832,30,29,0.0
59,365,884,21,20,0.0
60,710,887,18,17,0.0
