Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
13,"(27,622)",16,"(34,612)",12.21,,"(22,645)",23.54
20,"(43,75)",25,"(50,78)",7.62,[,"(8,84)",36.14
28,"(57,899)",34,"(67,913)",17.20,ñ,"(55,901)",2.83
30,"(59,626)",59,"(102,633)",43.57,Ï,"(43,644)",24.08
40,"(83,232)",48,"(90,238)",9.22,¾,"(38,251)",48.85
45,"(83,1081)",46,"(83,1086)",5.00,Ĵ,"(74,1081)",9.00
61,"(107,1126)",64,"(108,1118)",8.06,Ų,"(90,1122)",17.46
69,"(124,644)",75,"(131,656)",13.89,ǳ,"(125,639)",5.10
82,"(145,1110)",86,"(155,1117)",12.21,ʆ,"(168,1087)",32.53
89,"(162,565)",93,"(171,558)",11.40,ɗ,"(154,578)",15.26
89,"(162,565)",98,"(176,563)",14.14,ɗ,"(154,578)",15.26
91,"(165,754)",96,"(170,748)",7.81,null,null,null
91,"(165,754)",99,"(176,750)",11.70,null,null,null
93,"(171,558)",98,"(176,563)",7.07,null,null,null
96,"(170,748)",99,"(176,750)",6.32,null,null,null
115,"(211,1074)",117,"(211,1080)",6.00,˒,"(188,1068)",23.77
120,"(216,628)",124,"(221,628)",5.00,̍,"(205,664)",37.64
129,"(234,102)",132,"(239,106)",6.40,͉,"(220,122)",24.41
129,"(234,102)",137,"(242,90)",14.42,͉,"(220,122)",24.41
132,"(239,106)",137,"(242,90)",16.28,΂,"(236,121)",15.30
140,"(244,468)",144,"(251,475)",9.90,̧,"(212,466)",32.06
153,"(276,508)",154,"(276,512)",4.00,П,"(276,505)",3.00
177,"(308,933)",181,"(312,936)",5.00,ҟ,"(315,914)",20.25
180,"(311,652)",183,"(316,659)",8.60,җ,"(313,649)",3.61
206,"(370,747)",210,"(376,762)",16.16,Ա,"(356,754)",15.65
218,"(386,586)",221,"(389,613)",27.17,Ն,"(363,565)",31.14
223,"(398,956)",233,"(414,972)",22.63,և,"(381,973)",24.04
227,"(407,740)",232,"(411,742)",4.47,֦,"(390,745)",17.72
227,"(407,740)",230,"(411,753)",13.60,֦,"(390,745)",17.72
227,"(407,740)",239,"(422,756)",21.93,֦,"(390,745)",17.72
230,"(411,753)",232,"(411,742)",11.00,null,null,null
230,"(411,753)",239,"(422,756)",11.40,null,null,null
232,"(411,742)",239,"(422,756)",17.80,null,null,null
245,"(439,950)",249,"(443,947)",5.00,ط,"(435,957)",8.06
303,"(528,1035)",316,"(550,1060)",33.30,ݖ,"(523,1037)",5.39
309,"(540,497)",318,"(556,510)",20.62,ݔ,"(523,492)",17.72
309,"(540,497)",329,"(577,532)",50.93,ݔ,"(523,492)",17.72
318,"(556,510)",329,"(577,532)",30.41,߳,"(564,500)",12.81
326,"(572,779)",328,"(574,780)",2.24,߬,"(563,760)",21.02
338,"(587,457)",341,"(593,469)",13.42,޸,"(549,448)",39.05
338,"(587,457)",352,"(609,482)",33.30,޸,"(549,448)",39.05
340,"(591,258)",347,"(602,265)",13.04,ࡒ,"(591,256)",2.00
341,"(593,469)",352,"(609,482)",20.62,ࠊ,"(570,474)",23.54
346,"(599,708)",348,"(601,710)",2.83,߶,"(564,681)",44.20
357,"(612,1092)",359,"(617,1099)",8.60,࡚,"(594,1083)",20.12
367,"(632,678)",371,"(649,685)",18.38,࢖,"(612,682)",20.40
369,"(644,67)",372,"(649,77)",11.18,ࣃ,"(626,81)",22.80
373,"(650,559)",384,"(658,575)",17.89,ࢬ,"(618,548)",33.84
376,"(652,1089)",378,"(653,1078)",11.05,ई,"(646,1113)",24.74
389,"(665,106)",400,"(682,115)",19.24,null,null,null
397,"(675,466)",398,"(677,461)",5.39,प,"(656,457)",21.02
402,"(683,90)",411,"(699,93)",16.28,ॼ,"(681,89)",2.24
409,"(696,573)",412,"(699,574)",3.16,ॷ,"(678,570)",18.25
